id,parent_id,label,stage,sku_num,image,all_sku_num
1726799907725404148,3,TE Con.nectivity,2,0,,214
1727314548534046115,3,Tian cheng,2,0,,87
1729819413100000757,3,Tai hua,2,0,,657
1729843056610726103,3,TASTEK,2,0,,44
1732089656100001308,3,TBI,2,0,,257
1733536504668567708,3,TC,2,0,,5
1733564747172583653,3,THK,2,0,,94
1733889274435714646,3,TOSOKU,2,0,,15
1734513926721844635,3,TTW,2,0,,1
1734687104834987260,3,Tasi,2,0,,14
1735899512203414376,3,Terminals  Connectors,2,0,,0
1736502005759896736,3,TAIHEI,2,0,,1
43542,3,UNI-ROYAL,2,0,,0
44885,3,Unitrust,2,0,,0
45603,3,UNIT,2,0,,54
1718695253719540812,3,Uapow,2,0,,8
1720685350217923750,3,UNIVERSAL ROBOTS,2,0,,4
1734773813202927693,3,UPUN,2,0,,577
1737188124100001536,3,UNIOP,2,0,,2
13167,3,VIPA,2,0,,29
28984,3,Vertiv,2,0,,62
36301,3,Versa,2,0,,12555
1721900037465554650,3,VaneAims,2,0,,18
1722588159391525624,3,VIEWBEST,2,0,,17
1733712415201061735,3,VELLEDQ,2,0,,655
9540,3,Wago,2,0,,32562
9679,3,Weidmueller,2,0,,34261
12803,3,WEINVIEW,2,0,,13
14826,3,WIKA,2,0,,241
20949,3,WEG,2,0,,9295
28099,3,Wenglor,2,0,,14
36709,3,Wolfspeed,2,0,,319
39015,3,Winbest,2,0,,47
39329,3,WESTsam,2,0,,28
41857,3,Weiman,2,0,,23
41937,3,WZHF,2,0,,60
42292,3,Weidasi,2,0,,2
42409,3,Weixiang,2,0,,42
43256,3,Weitian,2,0,,20
43259,3,Weitian,2,0,,20
44259,3,WZYPDZ,2,0,,102
45604,3,WOLL FAN,2,0,,13
45658,3,WANGMA,2,0,,67
1716865019210757281,3,WALSIN,2,0,,0
1719368626923784894,3,WEHO,2,0,,34
1720072370997515058,3,WZBTFM,2,0,,146
1720582370471841582,3,WSPLE,2,0,,100
1721788431343013707,3,WBS,2,0,,31
1724654869161727818,3,Wontravel,2,0,,106
1726887111100000100,3,Weipu,2,0,,45
1731380772194243531,3,WZKS-DQ,2,0,,1
1732619908326439340,3,Wonpro,2,0,,3
1732670802016502083,3,WK,2,0,,0
1735292357693621111,3,WNE,2,0,,38
1735786505180257421,3,WAYTOP,2,0,,13
1735977600468492410,3,WEIKEDA,2,0,,0
1736499247217863125,3,WEST,2,0,,1
12854,3,Xinje,2,0,,504
23275,3,Xylem,2,0,,31
28744,3,XECRO,2,0,,3940
36765,3,XP power,2,0,,3000
39236,3,XCQD,2,0,,44
41169,3,xinrui,2,0,,0
41311,3,Xilei,2,0,,9
43545,3,Xingjie,2,0,,28
43901,3,Ximenzi,2,0,,27
43907,3,XTOOL,2,0,,31
1715915157000804732,3,Xhorse,2,0,,150
1724753332763801500,3,XYJG,2,0,,44
1733205664985625224,3,XD-Clutch,2,0,,15
9546,3,YASKAWA,2,0,,127
9547,3,Yokogawa,2,0,,3
38976,3,YSMAX,2,0,,5
39362,3,YANDA,2,0,,14
40848,3,YT,2,0,,302
42408,3,Yuhong,2,0,,17
43253,3,Yixiang,2,0,,0
43306,3,Yaohuo,2,0,,20
43518,3,YXKJ,2,0,,126
43602,3,YOU FENG,2,0,,5579
44027,3,Yuanlai,2,0,,144
44028,3,Yuanlai,2,0,,0
44218,3,YHWDZ,2,0,,5529
44632,3,YAJUFANG,2,0,,88
44653,3,Yunkong,2,0,,26
1716780249067327974,3,YAGEO,2,0,,0
1717551891858783249,3,YMX-dri,2,0,,1
1719214811538044942,3,Yongshi,2,0,,150
1720407290882912893,3,YFW,2,0,,45
1722584197553222187,3,YFHZA,2,0,,28
1723169978886502214,3,YR,2,0,,197
1723458261101651424,3,YJD,2,0,,54
1724132763639334586,3,YADA,2,0,,72
1724312481997038454,3,YUXI,2,0,,134
1725864899270341323,3,YongMAO,2,0,,111
1728547073662927354,3,YJ,2,0,,0
1733106602657431503,3,YunYi,2,0,,12
1733541732866328103,3,YD,2,0,,26
1734164058533848125,3,YCDQ-portable source,2,0,,18
1734171759777623929,3,YONGYU,2,0,,83
1734916258274469416,3,YJHongFeng,2,0,,29
1735019889818583740,3,YX- compensating line,2,0,,110
1736142383686052928,3,YS- Pull wire encoder,2,0,,90
1737440199188905871,3,YK-encoder,2,0,,210
9513,3,Ziehl-Abegg,2,0,,14
39284,3,ZHIYONG,2,0,,124
43749,3,ZLAN,2,0,,55
44528,3,Zhihe,2,0,,35
44761,3,Zhao Long,2,0,,19
1717060827271482047,3,ZjYlE,2,0,,56
1719302469748668189,3,ZGQNYI,2,0,,72
1719885107107433867,3,ZJYDT,2,0,,54
1720235387320079302,3,ZhongShao,2,0,,167
1720423792094654733,3,ZHXLJQ,2,0,,119
1721719191629940999,3,ZTS,2,0,,56
1723013036069119453,3,Zheng gong,2,0,,56
1723877254768492453,3,ZMX,2,0,,529
1724635852838767473,3,zzz test,2,0,,53
1724752502648250214,3,ZANYING,2,0,,37
